Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Assam Public Service Commission/a_Recruitment Advertisements""))",Chrome 125.0.0.0,,,13-06-2024 14:37:17,13-06-2024 14:37:18,0.709s,PASSED
"click(findTestObject(""Object Repository/Page_Assam Public Service Commission/a_Syllabus""))",Chrome 125.0.0.0,,,13-06-2024 14:37:18,13-06-2024 14:37:19,0.545s,PASSED
"click(findTestObject(""Object Repository/Page_Assam Public Service Commission/a_Corrigendums""))",Chrome 125.0.0.0,,,13-06-2024 14:37:19,13-06-2024 14:37:19,0.524s,PASSED
"click(findTestObject(""Object Repository/Page_Assam Public Service Commission/a_Status Of Applications""))",Chrome 125.0.0.0,,,13-06-2024 14:37:19,13-06-2024 14:37:20,0.557s,PASSED
"click(findTestObject(""Object Repository/Page_Assam Public Service Commission/a_Call LettersAdmit Cards""))",Chrome 125.0.0.0,,,13-06-2024 14:37:20,13-06-2024 14:37:20,0.560s,PASSED
"click(findTestObject(""Object Repository/Page_Assam Public Service Commission/a_Call LettersAdmit Cards""))",Chrome 125.0.0.0,,,13-06-2024 14:37:20,13-06-2024 14:37:21,0.288s,PASSED
"click(findTestObject(""Object Repository/Page_Assam Public Service Commission/a_Answer Keys""))",Chrome 125.0.0.0,,,13-06-2024 14:37:21,13-06-2024 14:37:21,0.544s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:37:21,13-06-2024 14:37:22,0.687s,PASSED
,,,,,,,
Test Cases/Assesment1-Assam University/PhotoGallery,Chrome 125.0.0.0,,,13-06-2024 14:41:23,13-06-2024 14:41:40,17.014s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:41:23,13-06-2024 14:41:26,2.609s,PASSED
"navigateToUrl(""https://www.apsc.nic.in/index.asp#latest-advt"")",Chrome 125.0.0.0,,,13-06-2024 14:41:26,13-06-2024 14:41:30,3.937s,PASSED
"click(findTestObject(""Object Repository/Page_Assam Public Service Commission/a_Photo Gallery""))",Chrome 125.0.0.0,,,13-06-2024 14:41:30,13-06-2024 14:41:35,5.007s,PASSED
"click(findTestObject(""Object Repository/Page_Assam Public Service Commission/img_Photo Gallery_hover-shadow cursor""))",Chrome 125.0.0.0,,,13-06-2024 14:41:35,13-06-2024 14:41:37,1.699s,PASSED
"click(findTestObject(""Object Repository/Page_Assam Public Service Commission/div_""))",Chrome 125.0.0.0,,,13-06-2024 14:41:37,13-06-2024 14:41:40,3.725s,FAILED
